album_id,album_name,release_date,album_total_tracks,album_url
3vcwGUl0WiJVssOR1dXEbe,Come Into My Life (The Album),1997-11-17,10,https://open.spotify.com/album/3vcwGUl0WiJVssOR1dXEbe
3hHmYc6mrl6NkmRW1ZwYvm,Aquarium (Special Edition),1997-01-01,17,https://open.spotify.com/album/3hHmYc6mrl6NkmRW1ZwYvm
7wyEph8JrTyNFNPmRCu3pU,Who Needs Guitars Anyway?,2000-10-01,14,https://open.spotify.com/album/7wyEph8JrTyNFNPmRCu3pU
5UwIyIyFzkM7wKeGtRJPgB,The Sign,1993-12-24,13,https://open.spotify.com/album/5UwIyIyFzkM7wKeGtRJPgB
54vbD17F1t5q3yHkj1cX37,Europop,1999,19,https://open.spotify.com/album/54vbD17F1t5q3yHkj1cX37
2hy9sLDt7IVAvJRGVdzZnx,The Party Album!,1999-06-04,12,https://open.spotify.com/album/2hy9sLDt7IVAvJRGVdzZnx
2aMWSTZkHdS6mR28WtpuxY,We See The Same Sun,1996-05-17,15,https://open.spotify.com/album/2aMWSTZkHdS6mR28WtpuxY
0qTVjeVP70YvQG4GctetOf,What Is Love (Remixes),1993-03-22,3,https://open.spotify.com/album/0qTVjeVP70YvQG4GctetOf
3hJI8ryjrsmUULkOXtV1IU,One Love,1992-05-04,12,https://open.spotify.com/album/3hJI8ryjrsmUULkOXtV1IU
2MRWFajfjxfLAF3wwmdv5j,Scatman's World,1995-06-01,13,https://open.spotify.com/album/2MRWFajfjxfLAF3wwmdv5j
5UwIyIyFzkM7wKeGtRJPgB,The Sign,1993-12-24,13,https://open.spotify.com/album/5UwIyIyFzkM7wKeGtRJPgB
7Kusf5plZjl76X5ARWJbNO,Music Sounds Better With You,1998-07-20,2,https://open.spotify.com/album/7Kusf5plZjl76X5ARWJbNO
2xpjgSvZVYjzdlWxeAJFy8,Show Me Love,1993-06-15,14,https://open.spotify.com/album/2xpjgSvZVYjzdlWxeAJFy8
0eVj6uUqoagjDPSOmz2rRj,Mr. Vain,1993-01-01,8,https://open.spotify.com/album/0eVj6uUqoagjDPSOmz2rRj
4sTAgYLZy5zwqR3kT1g0oh,World Clique,1990-08-07,12,https://open.spotify.com/album/4sTAgYLZy5zwqR3kT1g0oh
5vwm8dEf7xGTqUAas8zGdC,Children (Dance Vault Mixes),1996-07-11,4,https://open.spotify.com/album/5vwm8dEf7xGTqUAas8zGdC
1fqUZTGqbB0o0hIFhCbAg4,Pump Up The Jam,1989-11-28,12,https://open.spotify.com/album/1fqUZTGqbB0o0hIFhCbAg4
7wlnHCWKkBXBWtYgpaCaz7,Super Hits,1990,10,https://open.spotify.com/album/7wlnHCWKkBXBWtYgpaCaz7
3hJI8ryjrsmUULkOXtV1IU,One Love,1992-05-04,12,https://open.spotify.com/album/3hJI8ryjrsmUULkOXtV1IU
2svgyeZtPdcWOq5Hmj5uud,Saturday Night Single,1994-09-19,16,https://open.spotify.com/album/2svgyeZtPdcWOq5Hmj5uud
2hy9sLDt7IVAvJRGVdzZnx,The Party Album!,1999-06-04,12,https://open.spotify.com/album/2hy9sLDt7IVAvJRGVdzZnx
5aSbB0dVq5o7N5eSfnexjV,L'Amour Toujours,1999,23,https://open.spotify.com/album/5aSbB0dVq5o7N5eSfnexjV
2YBkamwn6VqpPO2wOfDVjS,It's My Life,1997-06-30,22,https://open.spotify.com/album/2YBkamwn6VqpPO2wOfDVjS
5BOX6g9aOGf0yh7OEkzen3,The Bridge,1995-11-07,18,https://open.spotify.com/album/5BOX6g9aOGf0yh7OEkzen3
5JVyNX3e2hGoOttoe7B8QL,Push The Feeling On,1995,4,https://open.spotify.com/album/5JVyNX3e2hGoOttoe7B8QL
18INLUvzq7lcQUrdaqtgIN,Best Of La Bouche feat. Melanie Thornton (feat. Melanie Thornton),2003-03-28,20,https://open.spotify.com/album/18INLUvzq7lcQUrdaqtgIN
5CQHiljabLGvn72iQk0wsZ,My Promise,1996-10-05,15,https://open.spotify.com/album/5CQHiljabLGvn72iQk0wsZ
22s9JNTNHLw9e5wwxKdcF0,No Limits,1993-05-10,14,https://open.spotify.com/album/22s9JNTNHLw9e5wwxKdcF0
3us11hQQJX1JXSIOz98bGG,Dreams,1994-01-01,13,https://open.spotify.com/album/3us11hQQJX1JXSIOz98bGG
5aSbB0dVq5o7N5eSfnexjV,L'Amour Toujours,1999,23,https://open.spotify.com/album/5aSbB0dVq5o7N5eSfnexjV
4scvdAWWY9lXFoRL7Bfqff,Move It!,1994-10-10,12,https://open.spotify.com/album/4scvdAWWY9lXFoRL7Bfqff
4DfD9bqzlfSbEf5kWgufPk,Movin' Melodies,1999-04-26,13,https://open.spotify.com/album/4DfD9bqzlfSbEf5kWgufPk
0pAY6od68ZZOgxNWwSOHlv,2 Times (Full Package),1998-12-15,11,https://open.spotify.com/album/0pAY6od68ZZOgxNWwSOHlv
3fSQDORWIQuhjPWZOptkML,Ice 'n' Green,1994-01-01,15,https://open.spotify.com/album/3fSQDORWIQuhjPWZOptkML
3hHmYc6mrl6NkmRW1ZwYvm,Aquarium (Special Edition),1997-01-01,17,https://open.spotify.com/album/3hHmYc6mrl6NkmRW1ZwYvm
01ChjoiBlN7bBmsvrzuzlo,Love Is Not Sex,1993-03-05,12,https://open.spotify.com/album/01ChjoiBlN7bBmsvrzuzlo
0m4EUHpp4mVnV8AWHT7T7x,Another Night,1995-03-28,11,https://open.spotify.com/album/0m4EUHpp4mVnV8AWHT7T7x
2hy9sLDt7IVAvJRGVdzZnx,The Party Album!,1999-06-04,12,https://open.spotify.com/album/2hy9sLDt7IVAvJRGVdzZnx
3dvjLo2u1kao2ikKIJa6KP,L'Amour Toujour,2014-05-30,4,https://open.spotify.com/album/3dvjLo2u1kao2ikKIJa6KP
3q1JrnU58iasGeb0etrpK7,Rhythm Is a Dancer 2008,1991,3,https://open.spotify.com/album/3q1JrnU58iasGeb0etrpK7
0DtX7zwNKLUtDWpDFHRVsG,To The Maxximum,1994,15,https://open.spotify.com/album/0DtX7zwNKLUtDWpDFHRVsG
2YBkamwn6VqpPO2wOfDVjS,It's My Life,1997-06-30,22,https://open.spotify.com/album/2YBkamwn6VqpPO2wOfDVjS
5VE3kQMUhC8dqhBziRsQ28,The Summer Is Magic (Radio Mix),1994-06-21,1,https://open.spotify.com/album/5VE3kQMUhC8dqhBziRsQ28
4pjPDN9F3qcR4Mug9VAPii,There Is a Party,1994-10-28,14,https://open.spotify.com/album/4pjPDN9F3qcR4Mug9VAPii
0WQmpiDN4YZhPRVR3JRjRR,Amplified Heart,1994-06-13,11,https://open.spotify.com/album/0WQmpiDN4YZhPRVR3JRjRR
7wyEph8JrTyNFNPmRCu3pU,Who Needs Guitars Anyway?,2000-10-01,14,https://open.spotify.com/album/7wyEph8JrTyNFNPmRCu3pU
3fSQDORWIQuhjPWZOptkML,Ice 'n' Green,1994-01-01,15,https://open.spotify.com/album/3fSQDORWIQuhjPWZOptkML
3MLXp4rTGt1USufyODvXuz,Sex & Violins,1995-04-03,13,https://open.spotify.com/album/3MLXp4rTGt1USufyODvXuz
6r4vIr4aUsK00mGHDiQkrl,Dreamland,1990,9,https://open.spotify.com/album/6r4vIr4aUsK00mGHDiQkrl
5Uu4tVZ7B5NdpKxXa9JrGA,This Is Your Night,1996-11-26,14,https://open.spotify.com/album/5Uu4tVZ7B5NdpKxXa9JrGA
0SHWgw0LPDs37Go6oPdaqp,Sandstorm,1999-01-01,3,https://open.spotify.com/album/0SHWgw0LPDs37Go6oPdaqp
5hAcH6CTDKGj43pMhp4iwR,Dune,1995-08-01,13,https://open.spotify.com/album/5hAcH6CTDKGj43pMhp4iwR
5ooTXuDOxCNohug76VGayS,The Rhythm of the Night,1995,1,https://open.spotify.com/album/5ooTXuDOxCNohug76VGayS
0ZUU0rETCIdO13CCmQnKfr,Belle Epoque,2008-07-18,11,https://open.spotify.com/album/0ZUU0rETCIdO13CCmQnKfr
7MtJHdiKmt3Gbus6oyXhy1,Surprise,1991-01-01,9,https://open.spotify.com/album/7MtJHdiKmt3Gbus6oyXhy1
3us11hQQJX1JXSIOz98bGG,Dreams,1994-01-01,13,https://open.spotify.com/album/3us11hQQJX1JXSIOz98bGG
73rwjoMZxrGQdbe5rPK7EY,Feel the heat of the night,2006-01-23,3,https://open.spotify.com/album/73rwjoMZxrGQdbe5rPK7EY
4pjPDN9F3qcR4Mug9VAPii,There Is a Party,1994-10-28,14,https://open.spotify.com/album/4pjPDN9F3qcR4Mug9VAPii
7wyEph8JrTyNFNPmRCu3pU,Who Needs Guitars Anyway?,2000-10-01,14,https://open.spotify.com/album/7wyEph8JrTyNFNPmRCu3pU
6XlL7z7CWAcyVa3RpSRsMb,Omen - The Story Continues,2008-04-08,13,https://open.spotify.com/album/6XlL7z7CWAcyVa3RpSRsMb
18INLUvzq7lcQUrdaqtgIN,Best Of La Bouche feat. Melanie Thornton (feat. Melanie Thornton),2003-03-28,20,https://open.spotify.com/album/18INLUvzq7lcQUrdaqtgIN
24srMCTo4eOojmFVk9iLdt,Tripomatic Fairytales 2001 (Deluxe Edition),1993-04-20,20,https://open.spotify.com/album/24srMCTo4eOojmFVk9iLdt
4R3t81cmGUQrTRFXTw7iI1,Celebration,2002-03-25,31,https://open.spotify.com/album/4R3t81cmGUQrTRFXTw7iI1
5DqnXBdlgQl0RqhuwHQSzd,Look Who's Talking,1993-03-29,13,https://open.spotify.com/album/5DqnXBdlgQl0RqhuwHQSzd
1olrz5rnUp5iYb1KEztPVU,Stay,1997-03-28,10,https://open.spotify.com/album/1olrz5rnUp5iYb1KEztPVU
61NPV53hdl13ljABTLGIfF,United,2009-06-05,8,https://open.spotify.com/album/61NPV53hdl13ljABTLGIfF
6IjQa4ZCnkSa9cnUvA3yJG,The Very Best Of,2004,17,https://open.spotify.com/album/6IjQa4ZCnkSa9cnUvA3yJG
1hMjJNZT1jhuWNotbgTRsB,Canâ€˜t Stop Raving,1995-10-01,4,https://open.spotify.com/album/1hMjJNZT1jhuWNotbgTRsB
0e23ii86vcNFqLU6NsKc7a,Flying High,1994-11-11,6,https://open.spotify.com/album/0e23ii86vcNFqLU6NsKc7a
2aMWSTZkHdS6mR28WtpuxY,We See The Same Sun,1996-05-17,15,https://open.spotify.com/album/2aMWSTZkHdS6mR28WtpuxY
